domain,feature,feature_class,mean_normalized_gain,sd_normalized_gain,min_normalized_gain,max_normalized_gain,rank
crispron_xiang_luo,k3_complexity,global_kmer_entropy_complexity,0.00349656711586,0,0.00349656711586,0.00349656711586,78
crispron_xiang_luo,guide_pos_11_T,spacer_position_one_hot,0.00349359301811,0,0.00349359301811,0.00349359301811,79
crispron_xiang_luo,guide_pos_1_C,spacer_position_one_hot,0.00347192672826,0,0.00347192672826,0.00347192672826,80
crispron_xiang_luo,k3_TTA,global_kmer_frequency,0.00344643568277,0,0.00344643568277,0.00344643568277,81
crispron_xiang_luo,guide_pos_7_A,spacer_position_one_hot,0.00341348924817,0,0.00341348924817,0.00341348924817,82
crispron_xiang_luo,k3_CAC,global_kmer_frequency,0.00338145817883,0,0.00338145817883,0.00338145817883,83
crispron_xiang_luo,is_optimal_gc,gc_regional_and_skew,0.00336292073503,0,0.00336292073503,0.00336292073503,84
crispron_xiang_luo,dinuc_AC,global_dinucleotide_frequency,0.00334191983239,0,0.00334191983239,0.00334191983239,85
crispron_xiang_luo,guide_pos_9_T,spacer_position_one_hot,0.00332382770967,0,0.00332382770967,0.00332382770967,86
crispron_xiang_luo,guide_pos_0_A,spacer_position_one_hot,0.00330609880291,0,0.00330609880291,0.00330609880291,87
crispron_xiang_luo,k2_complexity,global_kmer_entropy_complexity,0.00327395968446,0,0.00327395968446,0.00327395968446,88
crispron_xiang_luo,k3_ACC,global_kmer_frequency,0.00327368528854,0,0.00327368528854,0.00327368528854,89
crispron_xiang_luo,dinuc_GT,global_dinucleotide_frequency,0.00326770412891,0,0.00326770412891,0.00326770412891,90
crispron_xiang_luo,k3_CTC,global_kmer_frequency,0.00326392759859,0,0.00326392759859,0.00326392759859,91
crispron_xiang_luo,dinuc_CG,global_dinucleotide_frequency,0.00326188656908,0,0.00326188656908,0.00326188656908,92
crispron_xiang_luo,k3_AGG,global_kmer_frequency,0.00323846799113,0,0.00323846799113,0.00323846799113,93
crispron_xiang_luo,dinuc_AA,global_dinucleotide_frequency,0.0032259825188,0,0.0032259825188,0.0032259825188,94
crispron_xiang_luo,k3_TAA,global_kmer_frequency,0.00322104888621,0,0.00322104888621,0.00322104888621,95
crispron_xiang_luo,dinuc_CC,global_dinucleotide_frequency,0.00318282452692,0,0.00318282452692,0.00318282452692,96
crispron_xiang_luo,guide_pos_0_T,spacer_position_one_hot,0.00317441439872,0,0.00317441439872,0.00317441439872,97
crispron_xiang_luo,k3_CGG,global_kmer_frequency,0.00306686279545,0,0.00306686279545,0.00306686279545,98
crispron_xiang_luo,k3_GCG,global_kmer_frequency,0.0030578571762,0,0.0030578571762,0.0030578571762,99
crispron_xiang_luo,heterogeneity,global_nucleotide_composition,0.00304950320912,0,0.00304950320912,0.00304950320912,100
crispron_xiang_luo,guide_pos_8_C,spacer_position_one_hot,0.00302580199421,0,0.00302580199421,0.00302580199421,101
crispron_xiang_luo,guide_pos_15_T,spacer_position_one_hot,0.00300249268627,0,0.00300249268627,0.00300249268627,102
crispron_xiang_luo,k3_TCC,global_kmer_frequency,0.00300219845082,0,0.00300219845082,0.00300219845082,103
crispron_xiang_luo,k3_TCG,global_kmer_frequency,0.00299874209996,0,0.00299874209996,0.00299874209996,104
crispron_xiang_luo,guide_pos_2_G,spacer_position_one_hot,0.00299707405355,0,0.00299707405355,0.00299707405355,105
crispron_xiang_luo,k3_GGA,global_kmer_frequency,0.00298659115258,0,0.00298659115258,0.00298659115258,106
crispron_xiang_luo,gc_skew,gc_regional_and_skew,0.00297758889079,0,0.00297758889079,0.00297758889079,107
crispron_xiang_luo,gc_content,gc_regional_and_skew,0.00296387153644,0,0.00296387153644,0.00296387153644,108
crispron_xiang_luo,guide_pos_4_G,spacer_position_one_hot,0.00293306380288,0,0.00293306380288,0.00293306380288,109
crispron_xiang_luo,k3_TTC,global_kmer_frequency,0.00292930009195,0,0.00292930009195,0.00292930009195,110
crispron_xiang_luo,k3_CCA,global_kmer_frequency,0.0029265286626,0,0.0029265286626,0.0029265286626,111
crispron_xiang_luo,k3_AGT,global_kmer_frequency,0.00289963938828,0,0.00289963938828,0.00289963938828,112
crispron_xiang_luo,guide_pos_1_A,spacer_position_one_hot,0.00289048115729,0,0.00289048115729,0.00289048115729,113
crispron_xiang_luo,k3_AAC,global_kmer_frequency,0.00287119164279,0,0.00287119164279,0.00287119164279,114
crispron_xiang_luo,dinuc_TA,global_dinucleotide_frequency,0.002860885161,0,0.002860885161,0.002860885161,115
crispron_xiang_luo,k3_GCA,global_kmer_frequency,0.00285900467904,0,0.00285900467904,0.00285900467904,116
crispron_xiang_luo,guide_pos_6_T,spacer_position_one_hot,0.00285367547681,0,0.00285367547681,0.00285367547681,117
crispron_xiang_luo,guide_pos_4_A,spacer_position_one_hot,0.00283953416702,0,0.00283953416702,0.00283953416702,118
crispron_xiang_luo,gc_guide_skew,gc_regional_and_skew,0.00280723785846,0,0.00280723785846,0.00280723785846,119
crispron_xiang_luo,k3_TAG,global_kmer_frequency,0.0027941114168,0,0.0027941114168,0.0027941114168,120
crispron_xiang_luo,k3_GGT,global_kmer_frequency,0.00278310566798,0,0.00278310566798,0.00278310566798,121
crispron_xiang_luo,k3_GTG,global_kmer_frequency,0.00277112411965,0,0.00277112411965,0.00277112411965,122
crispron_xiang_luo,k3_GCT,global_kmer_frequency,0.00274577500309,0,0.00274577500309,0.00274577500309,123
crispron_xiang_luo,k3_CCG,global_kmer_frequency,0.0027387447903,0,0.0027387447903,0.0027387447903,124
crispron_xiang_luo,k3_CTG,global_kmer_frequency,0.00273391981728,0,0.00273391981728,0.00273391981728,125
crispron_xiang_luo,k3_CAG,global_kmer_frequency,0.00272965187714,0,0.00272965187714,0.00272965187714,126
crispron_xiang_luo,k2_entropy,global_kmer_entropy_complexity,0.00272135895475,0,0.00272135895475,0.00272135895475,127
crispron_xiang_luo,dinuc_CT,global_dinucleotide_frequency,0.00267757891739,0,0.00267757891739,0.00267757891739,128
crispron_xiang_luo,guide_pos_12_T,spacer_position_one_hot,0.0026757240742,0,0.0026757240742,0.0026757240742,129
crispron_xiang_luo,k3_TAT,global_kmer_frequency,0.00266934398747,0,0.00266934398747,0.00266934398747,130
crispron_xiang_luo,dinuc_CA,global_dinucleotide_frequency,0.00265485808035,0,0.00265485808035,0.00265485808035,131
crispron_xiang_luo,k3_entropy,global_kmer_entropy_complexity,0.00261579557734,0,0.00261579557734,0.00261579557734,132
crispron_xiang_luo,guide_pos_2_T,spacer_position_one_hot,0.00261351464215,0,0.00261351464215,0.00261351464215,133
crispron_xiang_luo,k3_ATA,global_kmer_frequency,0.00260657263896,0,0.00260657263896,0.00260657263896,134
crispron_xiang_luo,k3_CAA,global_kmer_frequency,0.00260500226408,0,0.00260500226408,0.00260500226408,135
crispron_xiang_luo,k3_CGC,global_kmer_frequency,0.00258841275662,0,0.00258841275662,0.00258841275662,136
crispron_xiang_luo,k3_TGG,global_kmer_frequency,0.00257584395828,0,0.00257584395828,0.00257584395828,137
crispron_xiang_luo,guide_pos_12_G,spacer_position_one_hot,0.00256449452781,0,0.00256449452781,0.00256449452781,138
crispron_xiang_luo,freq_C,global_nucleotide_composition,0.00255601282469,0,0.00255601282469,0.00255601282469,139
crispron_xiang_luo,k3_AGC,global_kmer_frequency,0.00254461654241,0,0.00254461654241,0.00254461654241,140
crispron_xiang_luo,k3_GGC,global_kmer_frequency,0.00251436584173,0,0.00251436584173,0.00251436584173,141
crispron_xiang_luo,guide_pos_5_T,spacer_position_one_hot,0.00250444119454,0,0.00250444119454,0.00250444119454,142
crispron_xiang_luo,guide_pos_3_T,spacer_position_one_hot,0.0025023465983,0,0.0025023465983,0.0025023465983,143
crispron_xiang_luo,k3_TCA,global_kmer_frequency,0.00248394635246,0,0.00248394635246,0.00248394635246,144
crispron_xiang_luo,k3_GAT,global_kmer_frequency,0.0024718865143,0,0.0024718865143,0.0024718865143,145
crispron_xiang_luo,k3_GAA,global_kmer_frequency,0.00245655162803,0,0.00245655162803,0.00245655162803,146
crispron_xiang_luo,k3_CAT,global_kmer_frequency,0.00243315136349,0,0.00243315136349,0.00243315136349,147
crispron_xiang_luo,k3_AGA,global_kmer_frequency,0.00242538540947,0,0.00242538540947,0.00242538540947,148
crispron_xiang_luo,k3_TGA,global_kmer_frequency,0.00241684434038,0,0.00241684434038,0.00241684434038,149
crispron_xiang_luo,k3_ACT,global_kmer_frequency,0.00239031660329,0,0.00239031660329,0.00239031660329,150
crispron_xiang_luo,dinuc_GC,global_dinucleotide_frequency,0.0023793410716,0,0.0023793410716,0.0023793410716,151
crispron_xiang_luo,k3_AAG,global_kmer_frequency,0.00236162498422,0,0.00236162498422,0.00236162498422,152
crispron_xiang_luo,k3_AAT,global_kmer_frequency,0.00234059661147,0,0.00234059661147,0.00234059661147,153
crispron_xiang_luo,k3_ACA,global_kmer_frequency,0.0023321986922,0,0.0023321986922,0.0023321986922,154
crispron_xiang_luo,k3_TGC,global_kmer_frequency,0.00230981711108,0,0.00230981711108,0.00230981711108,155
crispron_xiang_luo,dinuc_TG,global_dinucleotide_frequency,0.00230766070708,0,0.00230766070708,0.00230766070708,156
crispron_xiang_luo,k3_TGT,global_kmer_frequency,0.00229003237146,0,0.00229003237146,0.00229003237146,157
crispron_xiang_luo,guide_pos_4_T,spacer_position_one_hot,0.00219792461926,0,0.00219792461926,0.00219792461926,158
crispron_xiang_luo,freq_A,global_nucleotide_composition,0.00218523144234,0,0.00218523144234,0.00218523144234,159
crispron_xiang_luo,k3_CGT,global_kmer_frequency,0.00214918042696,0,0.00214918042696,0.00214918042696,160
